date,max_temp,min_temp
2026-09-12,25.9,16.7
2026-09-13,25.7,19.8
2026-09-14,24.9,18.1
2026-09-15,22.4,15.4
2026-09-16,22.3,18.2
2026-09-17,24.3,19.2
2026-09-18,24.9,19.8
